#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos	Theta_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm	deg
658.0	2.0	52.000	177.394	30.104	4	30.099	46.303	30.000	46.303	000	-18.183	-30.305	0.000
658.0	2.0	52.000	177.523	29.940	2	-29.945	-43.760	-30.109	-43.760	000	-18.183	-30.305	0.000
658.0	2.0	52.000	176.810	29.944	1	-29.938	-46.594	-30.099	-46.594	000	-18.183	-30.305	0.000
658.0	2.0	52.000	177.355	30.135	3	30.140	43.678	30.109	43.678	000	-18.183	-30.305	0.000
658.0	2.0	56.000	176.781	26.977	4	26.970	46.592	30.000	46.593	000	-18.183	-30.305	0.000
658.0	2.0	56.000	176.789	26.814	2	-26.821	-43.394	-26.983	-43.393	000	-18.183	-30.305	0.000
658.0	2.0	56.000	176.026	26.815	1	-26.807	-46.986	-26.970	-46.986	000	-18.183	-30.305	0.000
658.0	2.0	56.000	176.543	27.002	3	27.009	43.272	26.983	43.272	000	-18.183	-30.305	0.000
658.0	2.0	60.000	175.917	23.256	4	23.249	47.001	30.000	47.001	000	-18.183	-30.305	0.000
658.0	2.0	60.000	175.777	23.124	2	-23.131	-42.887	-23.263	-42.888	000	-18.183	-30.305	0.000
658.0	2.0	60.000	174.928	23.118	1	-23.110	-47.535	-23.248	-47.535	000	-18.183	-30.305	0.000
658.0	2.0	60.000	175.436	23.306	3	23.314	42.719	23.263	42.718	000	-18.183	-30.305	0.000
658.0	2.0	64.000	174.520	18.779	4	18.771	47.665	30.000	47.665	000	-18.183	-30.305	0.000
658.0	2.0	64.000	174.139	18.716	2	-18.724	-42.069	-18.787	-42.069	000	-18.183	-30.305	0.000
658.0	2.0	64.000	173.228	18.707	1	-18.697	-48.386	-18.771	-48.386	000	-18.183	-30.305	0.000
658.0	2.0	64.000	173.729	18.902	3	18.911	41.865	18.787	41.865	000	-18.183	-30.305	0.000
658.0	2.0	68.000	171.893	13.074	4	13.065	48.912	30.000	48.912	000	-18.183	-30.305	0.000
658.0	2.0	68.000	170.958	13.408	2	-13.418	-40.482	-13.082	-40.482	000	-18.183	-30.305	0.000
658.0	2.0	68.000	169.991	13.399	1	-13.388	-50.008	-13.065	-50.008	000	-18.183	-30.305	0.000
658.0	2.0	68.000	170.558	13.575	3	13.586	40.284	13.082	40.284	000	-18.183	-30.305	0.000
658.0	2.0	52.000	177.589	30.092	4	30.087	46.206	30.000	46.206	000	-6.061	-30.305	0.000
658.0	2.0	52.000	177.742	29.921	2	-29.925	-43.870	-30.097	-43.870	000	-6.061	-30.305	0.000
658.0	2.0	52.000	176.990	29.927	1	-29.920	-46.504	-30.087	-46.504	000	-6.061	-30.305	0.000
658.0	2.0	52.000	177.554	30.119	3	30.124	43.777	30.097	43.777	000	-6.061	-30.305	0.000
658.0	2.0	56.000	177.035	26.965	4	26.959	46.465	30.000	46.466	000	-6.061	-30.305	0.000
658.0	2.0	56.000	177.062	26.799	2	-26.805	-43.530	-26.971	-43.530	000	-6.061	-30.305	0.000
658.0	2.0	56.000	176.270	26.797	1	-26.790	-46.864	-26.959	-46.864	000	-6.061	-30.305	0.000
658.0	2.0	56.000	176.806	26.988	3	26.994	43.403	26.971	43.403	000	-6.061	-30.305	0.000
658.0	2.0	60.000	176.234	23.234	4	23.228	46.842	30.000	46.842	000	-6.061	-30.305	0.000
658.0	2.0	60.000	176.124	23.105	2	-23.112	-43.061	-23.241	-43.061	000	-6.061	-30.305	0.000
658.0	2.0	60.000	175.237	23.104	1	-23.096	-47.381	-23.227	-47.381	000	-6.061	-30.305	0.000
658.0	2.0	60.000	175.774	23.295	3	23.302	42.888	23.240	42.888	000	-6.061	-30.305	0.000
658.0	2.0	64.000	174.966	18.750	4	18.743	47.441	30.000	47.441	000	-6.061	-30.305	0.000
658.0	2.0	64.000	174.607	18.697	2	-18.705	-42.303	-18.757	-42.303	000	-6.061	-30.305	0.000
658.0	2.0	64.000	173.659	18.691	1	-18.682	-48.170	-18.742	-48.170	000	-6.061	-30.305	0.000
658.0	2.0	64.000	174.176	18.883	3	18.892	42.089	18.757	42.089	000	-6.061	-30.305	0.000
658.0	2.0	68.000	172.528	13.115	4	13.107	48.595	30.000	48.596	000	-6.061	-30.305	0.000
658.0	2.0	68.000	171.604	13.384	2	-13.393	-40.805	-13.123	-40.805	000	-6.061	-30.305	0.000
658.0	2.0	68.000	170.599	13.379	1	-13.369	-49.703	-13.107	-49.703	000	-6.061	-30.305	0.000
658.0	2.0	68.000	171.185	13.551	3	13.560	40.597	13.123	40.597	000	-6.061	-30.305	0.000
658.0	2.0	52.000	177.578	30.089	4	30.084	46.211	30.000	46.211	000	6.061	-30.305	0.000
658.0	2.0	52.000	177.748	29.923	2	-29.928	-43.873	-30.094	-43.873	000	6.061	-30.305	0.000
658.0	2.0	52.000	176.974	29.936	1	-29.930	-46.512	-30.084	-46.512	000	6.061	-30.305	0.000
658.0	2.0	52.000	177.568	30.114	3	30.119	43.784	30.094	43.784	000	6.061	-30.305	0.000
658.0	2.0	56.000	177.025	26.961	4	26.955	46.470	30.000	46.470	000	6.061	-30.305	0.000
658.0	2.0	56.000	177.062	26.798	2	-26.804	-43.530	-26.966	-43.530	000	6.061	-30.305	0.000
658.0	2.0	56.000	176.254	26.807	1	-26.800	-46.872	-26.955	-46.872	000	6.061	-30.305	0.000
658.0	2.0	56.000	176.796	26.994	3	27.000	43.398	26.966	43.398	000	6.061	-30.305	0.000
658.0	2.0	60.000	176.216	23.243	4	23.237	46.851	30.000	46.851	000	6.061	-30.305	0.000
658.0	2.0	60.000	176.111	23.107	2	-23.114	-43.054	-23.249	-43.055	000	6.061	-30.305	0.000
658.0	2.0	60.000	175.213	23.107	1	-23.099	-47.393	-23.236	-47.393	000	6.061	-30.305	0.000
658.0	2.0	60.000	175.754	23.298	3	23.305	42.877	23.250	42.877	000	6.061	-30.305	0.000
658.0	2.0	64.000	174.926	18.756	4	18.749	47.461	30.000	47.461	000	6.061	-30.305	0.000
658.0	2.0	64.000	174.582	18.702	2	-18.709	-42.290	-18.763	-42.290	000	6.061	-30.305	0.000
658.0	2.0	64.000	173.618	18.699	1	-18.690	-48.191	-18.748	-48.191	000	6.061	-30.305	0.000
658.0	2.0	64.000	174.156	18.885	3	18.894	42.079	18.763	42.079	000	6.061	-30.305	0.000
658.0	2.0	68.000	172.486	13.062	4	13.054	48.615	30.000	48.615	000	6.061	-30.305	0.000
658.0	2.0	68.000	171.600	13.383	2	-13.392	-40.803	-13.069	-40.803	000	6.061	-30.305	0.000
658.0	2.0	68.000	170.553	13.383	1	-13.373	-49.727	-13.054	-49.727	000	6.061	-30.305	0.000
658.0	2.0	68.000	171.170	13.563	3	13.573	40.590	13.069	40.590	000	6.061	-30.305	0.000
658.0	2.0	52.000	177.538	30.099	4	30.094	46.231	30.000	46.231	000	18.189	-30.305	0.000
658.0	2.0	52.000	177.697	29.930	2	-29.934	-43.848	-30.104	-43.848	000	18.183	-30.305	0.000
658.0	2.0	52.000	176.920	29.934	1	-29.928	-46.539	-30.094	-46.539	000	18.183	-30.305	0.000
658.0	2.0	52.000	177.510	30.122	3	30.127	43.755	30.104	43.755	000	18.183	-30.305	0.000
658.0	2.0	56.000	176.969	26.968	4	26.962	46.498	30.000	46.498	000	18.183	-30.305	0.000
658.0	2.0	56.000	177.020	26.799	2	-26.805	-43.509	-26.974	-43.509	000	18.183	-30.305	0.000
658.0	2.0	56.000	176.182	26.807	1	-26.800	-46.908	-26.962	-46.908	000	18.183	-30.305	0.000
658.0	2.0	56.000	176.739	26.995	3	27.002	43.370	26.974	43.370	000	18.183	-30.305	0.000
658.0	2.0	60.000	176.140	23.246	4	23.239	46.889	30.000	46.889	000	18.183	-30.305	0.000
658.0	2.0	60.000	176.058	23.111	2	-23.118	-43.028	-23.252	-43.028	000	18.183	-30.305	0.000
658.0	2.0	60.000	175.130	23.104	1	-23.095	-47.434	-23.239	-47.434	000	18.183	-30.305	0.000
658.0	2.0	60.000	175.676	23.299	3	23.307	42.838	23.252	42.838	000	18.183	-30.305	0.000
658.0	2.0	64.000	174.817	18.759	4	18.752	47.516	30.000	47.515	000	18.183	-30.305	0.000
658.0	2.0	64.000	174.486	18.699	2	-18.707	-42.242	-18.767	-42.242	000	18.183	-30.305	0.000
658.0	2.0	64.000	173.505	18.697	1	-18.688	-48.247	-18.751	-48.247	000	18.183	-30.305	0.000
658.0	2.0	64.000	174.047	18.891	3	18.900	42.024	18.766	42.024	000	18.183	-30.305	0.000
658.0	2.0	68.000	172.316	13.035	4	13.027	48.700	30.000	48.700	000	18.183	-30.305	0.000
658.0	2.0	68.000	171.449	13.394	2	-13.403	-40.728	-13.043	-40.729	000	18.183	-30.305	0.000
658.0	2.0	68.000	170.382	13.390	1	-13.379	-49.813	-13.027	-49.813	000	18.183	-30.305	0.000
658.0	2.0	68.000	171.001	13.572	3	13.581	40.506	13.043	40.506	000	18.183	-30.305	0.000
658.0	2.0	52.000	177.535	30.095	4	30.090	46.233	30.000	46.233	000	-30.305	-18.183	0.000
658.0	2.0	52.000	177.714	29.924	2	-29.929	-43.856	-30.100	-43.856	000	-30.305	-18.183	0.000
658.0	2.0	52.000	176.928	29.930	1	-29.923	-46.535	-30.090	-46.535	000	-30.305	-18.183	0.000
658.0	2.0	52.000	177.520	30.120	3	30.125	43.760	30.100	43.760	000	-30.305	-18.183	0.000
658.0	2.0	56.000	176.965	26.963	4	26.957	46.500	30.000	46.500	000	-30.305	-18.183	0.000
658.0	2.0	56.000	177.023	26.796	2	-26.802	-43.510	-26.969	-43.511	000	-30.305	-18.183	0.000
658.0	2.0	56.000	176.193	26.802	1	-26.795	-46.902	-26.957	-46.902	000	-30.305	-18.183	0.000
