#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	Time	X_pos	Y_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	s	mm	mm
400.0	6.0	65.000	163.275	25.820	2	-24.465	-33.691	-13.535	-33.691	000	5.699	0.000	0.000
440.0	6.0	65.000	159.434	22.170	2	-20.810	-35.578	-24.465	-35.578	000	5.699	0.000	0.000
480.0	6.0	65.000	157.484	19.851	2	-18.451	-34.273	-20.810	-34.273	000	5.699	0.000	0.000
520.0	5.0	65.000	155.412	18.335	2	-17.104	-32.917	-18.451	-32.917	000	5.699	0.000	0.000
560.0	5.0	65.000	153.744	16.818	2	-15.917	-32.034	-17.105	-32.034	000	5.699	0.000	0.000
600.0	5.5	65.000	152.283	15.693	2	-15.164	-31.207	-15.917	-31.206	000	5.699	0.000	0.000
640.0	5.5	65.000	151.193	14.832	2	-14.691	-30.611	-15.163	-30.611	000	5.699	0.000	0.000
680.0	5.0	65.000	150.515	14.139	2	-14.380	-30.229	-14.691	-30.230	000	5.699	0.000	0.000
720.0	5.0	65.000	149.865	13.416	2	-14.019	-29.822	-14.380	-29.822	000	5.699	0.000	0.000
760.0	5.5	65.000	149.494	12.857	2	-13.792	-29.560	-14.020	-29.560	000	5.699	0.000	0.000
800.0	5.0	65.000	149.103	12.263	2	-13.504	-29.215	-13.792	-29.214	000	5.699	0.000	0.000
400.0	6.0	65.000	160.330	25.989	4	27.163	54.880	26.824	54.880	000	5.699	0.000	0.000
440.0	6.0	65.000	157.907	22.412	4	24.230	57.051	27.163	57.051	000	5.699	0.000	0.000
480.0	6.0	65.000	155.281	20.127	4	21.966	58.248	24.230	58.248	000	5.699	0.000	0.000
520.0	5.0	65.000	153.189	18.274	4	19.786	59.136	21.966	59.136	000	5.699	0.000	0.000
560.0	5.0	65.000	151.200	17.028	4	18.112	59.828	19.786	59.828	000	5.699	0.000	0.000
600.0	5.5	65.000	149.865	16.083	4	16.696	60.273	18.112	60.273	000	5.699	0.000	0.000
640.0	5.5	65.000	148.663	15.024	4	15.180	60.722	16.696	60.722	000	5.699	0.000	0.000
680.0	5.0	65.000	147.791	14.146	4	13.890	61.032	15.180	61.032	000	5.699	0.000	0.000
720.0	5.0	65.000	147.042	13.476	4	12.855	61.357	13.891	61.357	000	5.699	0.000	0.000
760.0	5.5	65.000	146.424	12.933	4	11.992	61.676	12.855	61.676	000	5.699	0.000	0.000
800.0	5.0	65.000	146.240	12.499	4	11.280	61.833	11.992	61.833	000	5.699	0.000	0.000
400.0	6.0	65.000	161.803	25.904	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
440.0	6.0	65.000	158.670	22.291	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
480.0	6.0	65.000	156.382	19.989	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
520.0	5.0	65.000	154.300	18.305	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
560.0	5.0	65.000	152.472	16.923	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
600.0	5.5	65.000	151.074	15.888	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
640.0	5.5	65.000	149.928	14.928	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
680.0	5.0	65.000	149.153	14.143	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
720.0	5.0	65.000	148.453	13.446	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
760.0	5.5	65.000	147.959	12.895	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
800.0	5.0	65.000	147.672	12.381	0	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
400.0	6.0	65.000	2.944	0.168	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
440.0	6.0	65.000	1.527	0.242	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
480.0	6.0	65.000	2.203	0.276	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
520.0	5.0	65.000	2.223	0.061	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
560.0	5.0	65.000	2.544	0.210	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
600.0	5.5	65.000	2.418	0.389	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
640.0	5.5	65.000	2.530	0.192	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
680.0	5.0	65.000	2.724	0.007	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
720.0	5.0	65.000	2.823	0.059	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
760.0	5.5	65.000	3.070	0.076	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
800.0	5.0	65.000	2.863	0.236	5	NaN	NaN	NaN	NaN	000	5.699	0.000	0.000
