nm	aoi	Psi	Delta

400	65.00	42.887	130.74
410	65.00	42.864	131.82
420	65.00	42.848	132.85
430	65.00	42.832	133.85
440	65.00	42.814	134.81
450	65.00	42.8	135.74
460	65.00	42.778	136.63
470	65.00	42.754	137.49
480	65.00	42.728	138.3
490	65.00	42.71	139.09
500	65.00	42.688	139.85
510	65.00	42.665	140.59
520	65.00	42.642	141.3
530	65.00	42.614	141.97
540	65.00	42.586	142.63
550	65.00	42.561	143.25
560	65.00	42.538	143.86
570	65.00	42.516	144.46
580	65.00	42.492	145.04
590	65.00	42.459	145.6
600	65.00	42.427	146.15
610	65.00	42.393	146.66
620	65.00	42.36	147.17
630	65.00	42.322	147.66
640	65.00	42.282	148.14
650	65.00	42.231	148.6
660	65.00	42.179	149.03
670	65.00	42.128	149.44
680	65.00	42.078	149.84
690	65.00	42.02	150.23
700	65.00	41.962	150.6
710	65.00	41.895	150.95
720	65.00	41.824	151.28
730	65.00	41.747	151.59
740	65.00	41.664	151.87
750	65.00	41.574	152.13
760	65.00	41.47	152.35
770	65.00	41.36	152.53
780	65.00	41.247	152.63
790	65.00	41.14	152.68
800	65.00	41.048	152.65
