nm	aoi	Psi	Delta

400	65.00	27.846	109.75
410	65.00	27.932	109.56
420	65.00	28.02	109.16
430	65.00	28.119	108.53
440	65.00	28.238	107.67
450	65.00	28.398	106.35
460	65.00	28.687	104.56
470	65.00	29.212	102.31
480	65.00	30.267	99.461
490	65.00	32.104	97.042
500	65.00	34.591	96.443
510	65.00	36.995	97.992
520	65.00	38.968	100.94
530	65.00	40.238	103.81
540	65.00	41.147	106.57
550	65.00	41.814	109.11
560	65.00	42.33	111.43
570	65.00	42.728	113.57
580	65.00	43.045	115.54
590	65.00	43.285	117.31
600	65.00	43.502	119.06
610	65.00	43.677	120.62
620	65.00	43.823	122.09
630	65.00	43.948	123.47
640	65.00	44.055	124.8
650	65.00	44.148	126.03
660	65.00	44.226	127.18
670	65.00	44.294	128.29
680	65.00	44.347	129.38
690	65.00	44.385	130.38
700	65.00	44.415	131.35
710	65.00	44.434	132.25
720	65.00	44.453	133.1
730	65.00	44.468	133.94
740	65.00	44.481	134.72
750	65.00	44.499	135.5
760	65.00	44.509	136.23
770	65.00	44.518	136.89
780	65.00	44.527	137.58
790	65.00	44.536	138.22
800	65.00	44.542	138.84
