nm	aoi	Psi	Delta

400	65.00	20.632	158.55
410	65.00	19.435	158.99
420	65.00	18.393	159.34
430	65.00	17.481	159.59
440	65.00	16.73	159.74
450	65.00	16.075	159.92
460	65.00	15.454	160.11
470	65.00	14.941	160.49
480	65.00	14.447	160.81
490	65.00	14.023	160.96
500	65.00	13.626	161.1
510	65.00	13.276	161.24
520	65.00	12.941	161.38
530	65.00	12.648	161.53
540	65.00	12.353	161.69
550	65.00	12.105	161.92
560	65.00	11.842	162.18
570	65.00	11.611	162.34
580	65.00	11.402	162.41
590	65.00	11.195	162.46
600	65.00	11.026	162.62
610	65.00	10.847	162.8
620	65.00	10.667	162.98
630	65.00	10.519	163.13
640	65.00	10.375	163.27
650	65.00	10.229	163.4
660	65.00	10.098	163.54
670	65.00	9.9755	163.68
680	65.00	9.8521	163.81
690	65.00	9.7314	163.93
700	65.00	9.6333	164.08
710	65.00	9.5452	164.2
720	65.00	9.4569	164.31
730	65.00	9.3647	164.43
740	65.00	9.2872	164.57
750	65.00	9.2098	164.7
760	65.00	9.1323	164.83
770	65.00	9.0548	164.96
780	65.00	8.9842	165.07
790	65.00	8.9204	165.18
800	65.00	8.8566	165.29
