nm	aoi	Psi	Delta

400	65.00	22.659	145.72
410	65.00	21.446	145.97
420	65.00	20.379	146.15
430	65.00	19.439	146.25
440	65.00	18.654	146.3
450	65.00	17.961	146.39
460	65.00	17.302	146.49
470	65.00	16.743	146.78
480	65.00	16.204	147.01
490	65.00	15.741	147.12
500	65.00	15.305	147.22
510	65.00	14.917	147.33
520	65.00	14.545	147.44
530	65.00	14.214	147.58
540	65.00	13.884	147.71
550	65.00	13.598	147.93
560	65.00	13.295	148.19
570	65.00	13.027	148.37
580	65.00	12.787	148.47
590	65.00	12.553	148.53
600	65.00	12.353	148.7
610	65.00	12.141	148.92
620	65.00	11.93	149.12
630	65.00	11.753	149.31
640	65.00	11.582	149.46
650	65.00	11.412	149.6
660	65.00	11.254	149.8
670	65.00	11.104	149.99
680	65.00	10.956	150.17
690	65.00	10.811	150.34
700	65.00	10.688	150.55
710	65.00	10.579	150.71
720	65.00	10.471	150.86
730	65.00	10.359	151.03
740	65.00	10.259	151.24
750	65.00	10.161	151.44
760	65.00	10.063	151.63
770	65.00	9.9665	151.82
780	65.00	9.8783	151.99
790	65.00	9.7986	152.14
800	65.00	9.7193	152.29
