#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm
380.0	6.0	40.000	162.859	41.174	4	41.774	52.587	30.000	52.587	000	-8.000	-16.836
437.0	6.0	40.000	165.704	38.844	4	39.853	49.964	30.000	49.964	000	-8.000	-16.836
494.0	5.6	40.000	167.516	37.993	4	38.840	49.325	30.000	49.325	000	-8.000	-16.836
551.0	5.0	40.000	168.895	37.533	4	38.127	49.310	30.000	49.310	000	-8.000	-16.836
608.0	5.5	40.000	169.996	37.446	4	37.731	49.449	30.000	49.449	000	-8.000	-16.836
665.0	5.0	40.000	170.898	36.964	4	36.900	49.660	30.000	49.660	000	-8.000	-16.836
722.0	5.0	40.000	171.636	36.728	4	36.297	49.844	30.000	49.845	000	-8.000	-16.836
779.0	5.5	40.000	172.245	36.752	4	35.959	50.034	30.000	50.034	000	-8.000	-16.836
836.0	5.0	40.000	172.779	36.828	4	35.675	50.223	30.000	50.222	000	-8.000	-16.836
893.0	5.1	40.000	173.261	36.736	4	35.255	50.345	30.000	50.345	000	-8.000	-16.836
950.0	5.5	40.000	173.723	36.635	4	34.863	50.418	30.000	50.418	000	-8.000	-16.836
380.0	6.0	40.000	162.705	40.461	2	-39.783	-36.382	-40.495	-36.382	000	-8.000	-16.836
437.0	6.0	40.000	165.619	38.828	2	-37.434	-38.167	-39.783	-38.167	000	-8.000	-16.836
494.0	5.6	40.000	167.547	38.050	2	-36.825	-38.775	-37.434	-38.775	000	-8.000	-16.836
551.0	5.0	40.000	168.909	37.465	2	-36.694	-39.417	-36.825	-39.417	000	-8.000	-16.836
608.0	5.5	40.000	169.988	36.889	2	-36.570	-39.992	-36.694	-39.992	000	-8.000	-16.836
665.0	5.0	40.000	170.983	36.896	2	-36.958	-40.497	-36.570	-40.497	000	-8.000	-16.836
722.0	5.0	40.000	171.748	36.801	2	-37.168	-40.876	-36.958	-40.877	000	-8.000	-16.836
779.0	5.5	40.000	172.371	36.503	2	-37.114	-41.124	-37.168	-41.124	000	-8.000	-16.836
836.0	5.0	40.000	172.929	36.270	2	-37.071	-41.357	-37.114	-41.357	000	-8.000	-16.836
893.0	5.1	40.000	173.424	36.138	2	-37.086	-41.571	-37.071	-41.571	000	-8.000	-16.836
950.0	5.5	40.000	173.863	36.154	2	-37.207	-41.784	-37.086	-41.784	000	-8.000	-16.836
380.0	6.0	40.000	162.688	40.637	1	-41.326	-53.724	-41.855	-53.724	000	-8.000	-16.836
437.0	6.0	40.000	165.613	38.901	1	-40.453	-52.542	-41.326	-52.541	000	-8.000	-16.836
494.0	5.6	40.000	167.403	38.048	1	-39.371	-51.660	-40.453	-51.660	000	-8.000	-16.836
551.0	5.0	40.000	168.821	37.464	1	-38.272	-50.810	-39.371	-50.810	000	-8.000	-16.836
608.0	5.5	40.000	169.928	36.880	1	-37.207	-50.120	-38.272	-50.120	000	-8.000	-16.836
665.0	5.0	40.000	170.849	36.893	1	-36.830	-49.570	-37.207	-49.570	000	-8.000	-16.836
722.0	5.0	40.000	171.667	36.810	1	-36.442	-49.147	-36.830	-49.147	000	-8.000	-16.836
779.0	5.5	40.000	172.305	36.504	1	-35.908	-48.806	-36.443	-48.806	000	-8.000	-16.836
836.0	5.0	40.000	172.892	36.277	1	-35.503	-48.548	-35.908	-48.548	000	-8.000	-16.836
893.0	5.1	40.000	173.361	36.150	1	-35.226	-48.375	-35.503	-48.375	000	-8.000	-16.836
950.0	5.5	40.000	173.797	36.162	1	-35.110	-48.252	-35.225	-48.252	000	-8.000	-16.836
380.0	6.0	40.000	162.952	40.993	3	40.320	36.463	40.495	36.464	000	-8.000	-16.836
437.0	6.0	40.000	165.917	38.870	3	37.525	38.417	40.320	38.417	000	-8.000	-16.836
494.0	5.6	40.000	167.494	38.044	3	36.817	38.769	37.525	38.769	000	-8.000	-16.836
551.0	5.0	40.000	168.935	37.561	3	36.789	39.415	36.817	39.415	000	-8.000	-16.836
608.0	5.5	40.000	170.055	37.488	3	37.166	39.991	36.789	39.991	000	-8.000	-16.836
665.0	5.0	40.000	170.825	36.990	3	37.053	40.411	37.167	40.410	000	-8.000	-16.836
722.0	5.0	40.000	171.549	36.750	3	37.126	40.763	37.053	40.763	000	-8.000	-16.836
779.0	5.5	40.000	172.170	36.771	3	37.390	41.077	37.126	41.077	000	-8.000	-16.836
836.0	5.0	40.000	172.686	36.849	3	37.665	41.312	37.390	41.312	000	-8.000	-16.836
893.0	5.1	40.000	173.155	36.751	3	37.739	41.450	37.665	41.450	000	-8.000	-16.836
950.0	5.5	40.000	173.523	36.617	3	37.749	41.559	37.739	41.560	000	-8.000	-16.836
380.0	6.0	45.000	157.336	39.982	4	40.798	55.470	30.000	55.470	000	-8.000	-16.836
437.0	6.0	45.000	160.997	37.093	4	38.640	52.701	30.000	52.701	000	-8.000	-16.836
494.0	5.6	45.000	163.363	35.937	4	37.257	51.836	30.000	51.836	000	-8.000	-16.836
551.0	5.0	45.000	165.170	35.295	4	36.175	51.512	30.000	51.512	000	-8.000	-16.836
608.0	5.5	45.000	166.623	35.091	4	35.485	51.305	30.000	51.305	000	-8.000	-16.836
665.0	5.0	45.000	167.810	34.519	4	34.436	51.165	30.000	51.166	000	-8.000	-16.836
722.0	5.0	45.000	168.788	34.237	4	33.723	51.012	30.000	51.013	000	-8.000	-16.836
779.0	5.5	45.000	169.566	34.214	4	33.319	50.906	30.000	50.906	000	-8.000	-16.836
836.0	5.0	45.000	170.320	34.241	4	33.017	50.782	30.000	50.782	000	-8.000	-16.836
893.0	5.1	45.000	170.976	34.123	4	32.628	50.632	30.000	50.632	000	-8.000	-16.836
950.0	5.5	45.000	171.575	34.014	4	32.301	50.472	30.000	50.472	000	-8.000	-16.836
380.0	6.0	45.000	157.180	39.204	2	-38.327	-33.616	-39.101	-33.616	000	-8.000	-16.836
437.0	6.0	45.000	160.927	37.015	2	-35.214	-35.938	-38.327	-35.938	000	-8.000	-16.836
494.0	5.6	45.000	163.405	35.978	2	-34.395	-36.711	-35.214	-36.711	000	-8.000	-16.836
551.0	5.0	45.000	165.166	35.218	2	-34.219	-37.535	-34.395	-37.535	000	-8.000	-16.836
608.0	5.5	45.000	166.595	34.538	2	-34.125	-38.290	-34.219	-38.290	000	-8.000	-16.836
665.0	5.0	45.000	167.895	34.458	2	-34.539	-38.953	-34.125	-38.953	000	-8.000	-16.836
722.0	5.0	45.000	168.909	34.296	2	-34.774	-39.454	-34.538	-39.454	000	-8.000	-16.836
779.0	5.5	45.000	169.738	33.961	2	-34.755	-39.796	-34.774	-39.796	000	-8.000	-16.836
836.0	5.0	45.000	170.490	33.695	2	-34.737	-40.112	-34.755	-40.112	000	-8.000	-16.836
893.0	5.1	45.000	171.164	33.522	2	-34.756	-40.394	-34.737	-40.394	000	-8.000	-16.836
950.0	5.5	45.000	171.732	33.509	2	-34.887	-40.657	-34.756	-40.657	000	-8.000	-16.836
380.0	6.0	45.000	157.202	39.457	1	-40.347	-56.472	-40.867	-56.472	000	-8.000	-16.836
437.0	6.0	45.000	160.926	37.098	1	-39.115	-55.002	-40.347	-55.002	000	-8.000	-16.836
494.0	5.6	45.000	163.267	35.965	1	-37.681	-53.839	-39.115	-53.838	000	-8.000	-16.836
551.0	5.0	45.000	165.090	35.217	1	-36.265	-52.740	-37.681	-52.740	000	-8.000	-16.836
608.0	5.5	45.000	166.528	34.524	1	-34.948	-51.841	-36.265	-51.841	000	-8.000	-16.836
665.0	5.0	45.000	167.763	34.446	1	-34.364	-51.110	-34.948	-51.110	000	-8.000	-16.836
722.0	5.0	45.000	168.840	34.301	1	-33.826	-50.550	-34.364	-50.550	000	-8.000	-16.836
779.0	5.5	45.000	169.675	33.957	1	-33.184	-50.116	-33.826	-50.117	000	-8.000	-16.836
836.0	5.0	45.000	170.438	33.699	1	-32.694	-49.782	-33.184	-49.782	000	-8.000	-16.836
893.0	5.1	45.000	171.062	33.535	1	-32.339	-49.544	-32.694	-49.544	000	-8.000	-16.836
950.0	5.5	45.000	171.633	33.527	1	-32.166	-49.375	-32.339	-49.375	000	-8.000	-16.836
380.0	6.0	45.000	157.431	39.740	3	38.866	33.700	39.102	33.700	000	-8.000	-16.836
437.0	6.0	45.000	161.312	37.068	3	35.321	36.229	38.866	36.229	000	-8.000	-16.836
494.0	5.6	45.000	163.361	35.983	3	34.400	36.710	35.320	36.710	000	-8.000	-16.836
551.0	5.0	45.000	165.224	35.322	3	34.324	37.549	34.400	37.549	000	-8.000	-16.836
608.0	5.5	45.000	166.694	35.126	3	34.710	38.306	34.324	38.306	000	-8.000	-16.836
665.0	5.0	45.000	167.727	34.552	3	34.634	38.862	34.710	38.862	000	-8.000	-16.836
722.0	5.0	45.000	168.689	34.250	3	34.738	39.331	34.634	39.331	000	-8.000	-16.836
779.0	5.5	45.000	169.524	34.229	3	35.034	39.744	34.738	39.744	000	-8.000	-16.836
836.0	5.0	45.000	170.207	34.259	3	35.323	40.044	35.034	40.044	000	-8.000	-16.836
893.0	5.1	45.000	170.841	34.137	3	35.420	40.251	35.323	40.251	000	-8.000	-16.836
950.0	5.5	45.000	171.353	33.979	3	35.444	40.413	35.420	40.413	000	-8.000	-16.836
380.0	6.0	50.000	150.646	38.578	4	39.640	58.962	30.000	58.962	000	-8.000	-16.836
437.0	6.0	50.000	155.128	35.026	4	37.198	56.087	30.000	56.087	000	-8.000	-16.836
494.0	5.6	50.000	158.098	33.523	4	35.391	54.974	30.000	54.973	000	-8.000	-16.836
551.0	5.0	50.000	160.399	32.649	4	33.858	54.295	30.000	54.295	000	-8.000	-16.836
608.0	5.5	50.000	162.242	32.289	4	32.807	53.695	30.000	53.695	000	-8.000	-16.836
665.0	5.0	50.000	163.790	31.637	4	31.533	53.130	30.000	53.129	000	-8.000	-16.836
722.0	5.0	50.000	165.076	31.261	4	30.649	52.560	30.000	52.560	000	-8.000	-16.836
779.0	5.5	50.000	166.160	31.169	4	30.161	52.042	30.000	52.042	000	-8.000	-16.836
836.0	5.0	50.000	167.132	31.143	4	29.832	51.560	30.000	51.560	000	-8.000	-16.836
893.0	5.1	50.000	167.976	30.975	4	29.455	51.078	30.000	51.078	000	-8.000	-16.836
950.0	5.5	50.000	168.732	30.800	4	29.146	50.610	30.000	50.610	000	-8.000	-16.836
380.0	6.0	50.000	150.460	37.821	2	-36.720	-30.245	-37.471	-30.245	000	-8.000	-16.836
437.0	6.0	50.000	155.084	34.931	2	-32.670	-33.158	-36.719	-33.158	000	-8.000	-16.836
494.0	5.6	50.000	158.143	33.554	2	-31.568	-34.098	-32.670	-34.098	000	-8.000	-16.836
551.0	5.0	50.000	160.391	32.589	2	-31.333	-35.136	-31.568	-35.136	000	-8.000	-16.836
608.0	5.5	50.000	162.231	31.776	2	-31.255	-36.103	-31.333	-36.103	000	-8.000	-16.836
665.0	5.0	50.000	163.883	31.566	2	-31.668	-36.947	-31.254	-36.947	000	-8.000	-16.836
722.0	5.0	50.000	165.195	31.318	2	-31.926	-37.593	-31.668	-37.593	000	-8.000	-16.836
779.0	5.5	50.000	166.270	30.933	2	-31.942	-38.047	-31.925	-38.047	000	-8.000	-16.836
836.0	5.0	50.000	167.275	30.629	2	-31.953	-38.471	-31.942	-38.471	000	-8.000	-16.836
893.0	5.1	50.000	168.115	30.419	2	-31.996	-38.814	-31.953	-38.814	000	-8.000	-16.836
950.0	5.5	50.000	168.874	30.352	2	-32.121	-39.142	-31.995	-39.142	000	-8.000	-16.836
380.0	6.0	50.000	150.477	38.130	1	-39.251	-59.834	-39.694	-59.834	000	-8.000	-16.836
437.0	6.0	50.000	155.021	35.029	1	-37.586	-58.081	-39.251	-58.081	000	-8.000	-16.836
494.0	5.6	50.000	157.979	33.544	1	-35.717	-56.610	-37.586	-56.610	000	-8.000	-16.836
551.0	5.0	50.000	160.280	32.572	1	-33.899	-55.224	-35.717	-55.224	000	-8.000	-16.836
608.0	5.5	50.000	162.126	31.753	1	-32.289	-54.068	-33.899	-54.068	000	-8.000	-16.836
665.0	5.0	50.000	163.760	31.551	1	-31.448	-53.108	-32.289	-53.108	000	-8.000	-16.836
722.0	5.0	50.000	165.143	31.318	1	-30.719	-52.385	-31.448	-52.385	000	-8.000	-16.836
779.0	5.5	50.000	166.273	30.931	1	-29.960	-51.812	-30.719	-51.812	000	-8.000	-16.836
836.0	5.0	50.000	167.291	30.627	1	-29.368	-51.361	-29.960	-51.361	000	-8.000	-16.836
893.0	5.1	50.000	168.108	30.434	1	-28.937	-51.048	-29.368	-51.048	000	-8.000	-16.836
950.0	5.5	50.000	168.860	30.383	1	-28.687	-50.807	-28.937	-50.807	000	-8.000	-16.836
380.0	6.0	50.000	150.810	38.339	3	37.242	30.382	37.471	30.382	000	-8.000	-16.836
437.0	6.0	50.000	155.501	34.986	3	32.776	33.460	37.241	33.460	000	-8.000	-16.836
494.0	5.6	50.000	158.109	33.573	3	31.586	34.100	32.776	34.100	000	-8.000	-16.836
551.0	5.0	50.000	160.481	32.698	3	31.443	35.167	31.586	35.167	000	-8.000	-16.836
608.0	5.5	50.000	162.390	32.343	3	31.819	36.150	31.443	36.149	000	-8.000	-16.836
665.0	5.0	50.000	163.714	31.671	3	31.775	36.855	31.819	36.856	000	-8.000	-16.836
722.0	5.0	50.000	164.951	31.292	3	31.910	37.458	31.775	37.458	000	-8.000	-16.836
779.0	5.5	50.000	166.004	31.198	3	32.224	37.966	31.910	37.967	000	-8.000	-16.836
836.0	5.0	50.000	166.919	31.165	3	32.524	38.364	32.224	38.364	000	-8.000	-16.836
893.0	5.1	50.000	167.753	30.995	3	32.631	38.647	32.524	38.647	000	-8.000	-16.836
950.0	5.5	50.000	168.437	30.807	3	32.671	38.874	32.631	38.874	000	-8.000	-16.836
380.0	6.0	55.000	142.690	36.989	4	38.313	63.106	30.000	63.105	000	-8.000	-16.836
437.0	6.0	55.000	147.837	32.705	4	35.562	60.227	30.000	60.227	000	-8.000	-16.836
494.0	5.6	55.000	151.292	30.748	4	33.224	58.939	30.000	58.939	000	-8.000	-16.836
551.0	5.0	55.000	154.093	29.584	4	31.157	57.898	30.000	57.898	000	-8.000	-16.836
608.0	5.5	55.000	156.434	29.007	4	29.663	56.830	30.000	56.830	000	-8.000	-16.836
665.0	5.0	55.000	158.371	28.221	4	28.095	55.785	30.000	55.785	000	-8.000	-16.836
722.0	5.0	55.000	160.003	27.753	4	27.028	54.725	30.000	54.726	000	-8.000	-16.836
779.0	5.5	55.000	161.454	27.560	4	26.415	53.699	30.000	53.699	000	-8.000	-16.836
836.0	5.0	55.000	162.733	27.436	4	26.010	52.736	30.000	52.737	000	-8.000	-16.836
893.0	5.1	55.000	163.870	27.244	4	25.664	51.809	30.000	51.809	000	-8.000	-16.836
950.0	5.5	55.000	164.863	27.045	4	25.408	50.942	30.000	50.942	000	-8.000	-16.836
380.0	6.0	55.000	142.169	36.274	2	-34.927	-26.088	-35.643	-26.088	000	-8.000	-16.836
437.0	6.0	55.000	147.622	32.566	2	-29.794	-29.575	-34.927	-29.575	000	-8.000	-16.836
494.0	5.6	55.000	151.258	30.767	2	-28.341	-30.685	-29.794	-30.685	000	-8.000	-16.836
551.0	5.0	55.000	154.052	29.538	2	-28.000	-31.960	-28.340	-31.961	000	-8.000	-16.836
608.0	5.5	55.000	156.381	28.551	2	-27.911	-33.173	-28.000	-33.174	000	-8.000	-16.836
665.0	5.0	55.000	158.456	28.175	2	-28.301	-34.233	-27.911	-34.233	000	-8.000	-16.836
722.0	5.0	55.000	160.127	27.816	2	-28.570	-35.052	-28.301	-35.052	000	-8.000	-16.836
779.0	5.5	55.000	161.525	27.355	2	-28.608	-35.651	-28.570	-35.651	000	-8.000	-16.836
836.0	5.0	55.000	162.799	26.987	2	-28.638	-36.185	-28.609	-36.185	000	-8.000	-16.836
893.0	5.1	55.000	163.913	26.722	2	-28.691	-36.635	-28.638	-36.635	000	-8.000	-16.836
950.0	5.5	55.000	164.874	26.621	2	-28.841	-37.041	-28.691	-37.041	000	-8.000	-16.836
380.0	6.0	55.000	142.197	36.677	1	-38.053	-63.967	-38.353	-63.967	000	-8.000	-16.836
437.0	6.0	55.000	147.490	32.680	1	-35.843	-61.973	-38.053	-61.973	000	-8.000	-16.836
494.0	5.6	55.000	151.094	30.754	1	-33.440	-60.189	-35.843	-60.188	000	-8.000	-16.836
551.0	5.0	55.000	153.926	29.517	1	-31.156	-58.489	-33.440	-58.489	000	-8.000	-16.836
608.0	5.5	55.000	156.222	28.523	1	-29.183	-57.052	-31.156	-57.052	000	-8.000	-16.836
665.0	5.0	55.000	158.342	28.153	1	-28.026	-55.811	-29.183	-55.811	000	-8.000	-16.836
722.0	5.0	55.000	160.128	27.807	1	-27.071	-54.873	-28.026	-54.874	000	-8.000	-16.836
779.0	5.5	55.000	161.595	27.344	1	-26.154	-54.138	-27.071	-54.138	000	-8.000	-16.836
836.0	5.0	55.000	162.928	26.992	1	-25.451	-53.551	-26.154	-53.550	000	-8.000	-16.836
893.0	5.1	55.000	164.020	26.742	1	-24.919	-53.120	-25.451	-53.120	000	-8.000	-16.836
950.0	5.5	55.000	165.005	26.641	1	-24.582	-52.792	-24.919	-52.792	000	-8.000	-16.836
380.0	6.0	55.000	142.562	36.774	3	35.428	26.250	35.643	26.250	000	-8.000	-16.836
437.0	6.0	55.000	148.070	32.613	3	29.887	29.888	35.429	29.888	000	-8.000	-16.836
494.0	5.6	55.000	151.271	30.803	3	28.377	30.704	29.887	30.704	000	-8.000	-16.836
551.0	5.0	55.000	154.179	29.653	3	28.117	32.012	28.377	32.012	000	-8.000	-16.836
608.0	5.5	55.000	156.570	29.071	3	28.427	33.239	28.117	33.238	000	-8.000	-16.836
665.0	5.0	55.000	158.276	28.285	3	28.413	34.137	28.427	34.137	000	-8.000	-16.836
722.0	5.0	55.000	159.840	27.801	3	28.566	34.896	28.413	34.896	000	-8.000	-16.836
779.0	5.5	55.000	161.202	27.604	3	28.880	35.540	28.566	35.540	000	-8.000	-16.836
836.0	5.0	55.000	162.412	27.488	3	29.182	36.061	28.880	36.061	000	-8.000	-16.836
893.0	5.1	55.000	163.503	27.261	3	29.301	36.446	29.183	36.446	000	-8.000	-16.836
950.0	5.5	55.000	164.384	27.031	3	29.359	36.742	29.301	36.742	000	-8.000	-16.836
380.0	6.0	60.000	133.716	35.372	4	36.949	67.756	30.000	67.756	000	-8.000	-16.836
437.0	6.0	60.000	138.492	30.129	4	33.702	65.405	30.000	65.404	000	-8.000	-16.836
494.0	5.6	60.000	142.132	27.638	4	30.749	64.092	30.000	64.092	000	-8.000	-16.836
551.0	5.0	60.000	145.464	26.111	4	28.057	62.684	30.000	62.684	000	-8.000	-16.836
608.0	5.5	60.000	148.366	25.223	4	26.018	61.120	30.000	61.120	000	-8.000	-16.836
665.0	5.0	60.000	150.555	24.281	4	24.129	59.631	30.000	59.631	000	-8.000	-16.836
722.0	5.0	60.000	152.560	23.660	4	22.809	58.001	30.000	58.001	000	-8.000	-16.836
779.0	5.5	60.000	154.475	23.344	4	22.028	56.322	30.000	56.322	000	-8.000	-16.836
836.0	5.0	60.000	156.137	23.096	4	21.498	54.722	30.000	54.722	000	-8.000	-16.836
893.0	5.1	60.000	157.633	22.814	4	21.093	53.168	30.000	53.168	000	-8.000	-16.836
950.0	5.5	60.000	158.911	22.539	4	20.813	51.721	30.000	51.721	000	-8.000	-16.836
380.0	6.0	60.000	131.820	34.632	2	-33.031	-20.909	-33.801	-20.908	000	-8.000	-16.836
437.0	6.0	60.000	137.756	29.961	2	-26.646	-24.766	-33.031	-24.766	000	-8.000	-16.836
494.0	5.6	60.000	141.887	27.662	2	-24.781	-26.038	-26.646	-26.038	000	-8.000	-16.836
551.0	5.0	60.000	145.195	26.072	2	-24.244	-27.541	-24.781	-27.541	000	-8.000	-16.836
608.0	5.5	60.000	148.025	24.859	2	-24.094	-28.995	-24.244	-28.995	000	-8.000	-16.836
665.0	5.0	60.000	150.574	24.249	2	-24.402	-30.291	-24.094	-30.291	000	-8.000	-16.836
722.0	5.0	60.000	152.725	23.725	2	-24.638	-31.338	-24.402	-31.337	000	-8.000	-16.836
