"Wavelength, µm","n","k"
0.4,1.62552,8.13e-7
0.41,1.62163,7.28e-7
0.42,1.61834,6.82e-7
0.43,1.61546,6.7e-7
0.44,1.61279,6.5e-7
0.45,1.61037,6.33e-7
0.46,1.60797,6.12e-7
0.47,1.60594,6.02e-7
0.48,1.60372,6.09e-7
0.49,1.60201,6.25e-7
0.5,1.60021,6.11e-7
0.51,1.59862,6.12e-7
0.52,1.59721,5.72e-7
0.53,1.59587,5.62e-7
0.54,1.59443,5.7e-7
0.55,1.59338,5.78e-7
0.56,1.59217,6.07e-7
0.57,1.59084,5.86e-7
0.58,1.58996,5.95e-7
0.59,1.58898,5.83e-7
0.6,1.5882,6.36e-7
0.61,1.58734,6.31e-7
0.62,1.58653,5.93e-7
0.63,1.58554,6.14e-7
0.64,1.58493,6.27e-7
0.65,1.58426,5.83e-7
0.66,1.58359,5.86e-7
0.67,1.583,5.73e-7
0.68,1.58237,5.64e-7
0.69,1.5818,5.82e-7
0.7,1.58128,5.64e-7
0.71,1.58061,6.02e-7
0.72,1.58022,5.55e-7
0.73,1.57972,5.76e-7
0.74,1.57926,5.67e-7
0.75,1.57889,5.51e-7
0.76,1.57821,5.98e-7
0.77,1.5777,6.08e-7
0.78,1.57746,5.46e-7
0.79,1.57703,5.45e-7
0.8,1.57674,5.54e-7
0.81,1.57637,5.55e-7
0.82,1.57618,4.48e-7
0.83,1.5758,4.21e-7
0.84,1.57563,5.34e-7
0.85,1.57539,5.11e-7
0.86,1.57513,5.29e-7
0.87,1.57489,0.00000122
0.88,1.57451,9.11e-7
0.89,1.57437,8.2e-7
0.9,1.57409,5.35e-7
0.91,1.57387,4.93e-7
0.92,1.57362,3.93e-7
0.93,1.57343,2.85e-7
0.94,1.57315,8.16e-7
0.95,1.57292,4e-7
0.96,1.57285,4.71e-7
0.97,1.57256,2.04e-7
0.98,1.57231,2.34e-7
0.99,1.57216,4.34e-7
1,1.57211,3.49e-7
1.01,1.57197,7.34e-7
1.02,1.57197,7.39e-7
1.03,1.56996,0.00000101
1.04,1.57013,9.61e-7
1.05,1.5699,9.82e-7
1.06,1.56958,9.36e-7
1.07,1.56904,9.04e-7
1.08,1.56938,8.95e-7
1.09,1.56916,0.00000125
1.1,1.56904,0.0000011
1.11,1.56911,0.00000135
1.12,1.56854,0.00000188
1.13,1.5687,0.00000412
1.14,1.56779,0.0000113
1.15,1.56805,0.0000114
1.16,1.56801,0.00000452
1.17,1.56851,0.00000296
1.18,1.56822,0.00000245
1.19,1.56803,0.00000344
1.2,1.56767,0.0000046
1.21,1.56757,0.00000524
1.22,1.56707,0.00000403
1.23,1.56707,0.00000279
1.24,1.56665,0.00000206
1.25,1.56688,0.00000168
1.26,1.56667,0.00000166
1.27,1.56692,0.00000188
1.28,1.56712,0.00000127
1.29,1.56643,0.00000127
1.3,1.56571,0.00000151
1.31,1.56643,0.00000143
1.32,1.566,0.00000157
1.33,1.56583,0.00000174
1.34,1.56593,0.00000203
1.35,1.56618,0.00000228
1.36,1.56572,0.00000205
1.37,1.56639,0.00000355
1.38,1.56551,0.000004
1.39,1.56555,0.00000478
1.4,1.56579,0.00000505
1.41,1.56531,0.00000576
1.42,1.56534,0.00000612
1.43,1.56508,0.00000524
1.44,1.5651,0.00000508
1.45,1.56522,0.00000449
1.46,1.56532,0.00000401
1.47,1.56522,0.000004
1.48,1.5651,0.00000465
1.49,1.56533,0.00000323
1.5,1.56463,0.00000306
1.51,1.56471,0.00000282
1.52,1.56419,0.00000264
1.53,1.56448,0.00000245
1.54,1.56478,0.00000225
1.55,1.56484,0.00000189
1.56,1.56451,0.00000196
1.57,1.56462,0.00000213
1.58,1.56449,0.00000241
1.59,1.56403,0.00000284
1.6,1.56384,0.00000332
1.61,1.56384,0.00000446
1.62,1.56447,0.00000811
1.63,1.56402,0.0000192
1.64,1.56432,0.0000268
1.65,1.56402,0.0000242
1.66,1.56391,0.0000387
1.67,1.56342,0.000105
1.68,1.56376,0.00016
1.69,1.5636,0.000137
1.7,1.56341,0.0000846
1.71,1.56341,0.0000542
1.72,1.56363,0.000048
1.73,1.5639,0.000044
1.74,1.56383,0.0000273
1.75,1.56336,0.0000334
1.76,1.56349,0.0000417
1.77,1.56337,0.0000362
1.78,1.56328,0.0000272
1.79,1.56336,0.0000306
1.8,1.56314,0.0000291
1.81,1.56316,0.0000297
1.82,1.56293,0.0000272
1.83,1.56309,0.0000244
1.84,1.56296,0.0000248
1.85,1.56285,0.0000256
1.86,1.56279,0.0000268
1.87,1.5632,0.0000246
1.88,1.56337,0.0000218
1.89,1.56296,0.0000214
1.9,1.56302,0.0000211
1.91,1.5631,0.0000214
1.92,1.5627,0.0000197
1.93,1.56293,0.0000189
1.94,1.56262,0.0000185
1.95,1.56275,0.0000192
1.96,1.56273,0.0000184
1.97,1.56303,0.0000179
1.98,1.56332,0.0000179
1.99,1.56277,0.0000175
2,1.56256,0.0000176
2.0097,1.58013,0.0000214
2.019,1.57816,0.0000245
2.0285,1.57629,0.000031
2.0381,1.57637,0.0000369
2.0478,1.57668,0.0000377
2.0575,1.57491,0.0000391
2.0673,1.57307,0.0000405
2.0773,1.57276,0.0000413
2.0873,1.57268,0.0000429
2.0975,1.5696,0.000046
2.1077,1.56498,0.0000505
2.118,1.56087,0.0000584
2.1285,1.5594,0.0000744
2.139,1.56039,0.0001
2.1496,1.56007,0.00339
2.1568,1.55891,0.00389
2.1676,1.5585,0.00388
2.1785,1.55899,0.00359
2.1896,1.55948,0.0043
2.197,1.55989,0.00475
2.2082,1.55992,0.0000979
2.2196,1.55973,0.0000905
2.2272,1.55961,0.0000851
2.2387,1.55943,0.0000797
2.2465,1.55951,0.0000803
2.2582,1.55937,0.0000863
2.2661,1.55898,0.0000932
2.2781,1.55863,0.00339
2.2861,1.55819,0.00373
2.2983,1.5577,0.0041
2.3065,1.55805,0.00387
2.3188,1.55974,0.00362
2.3272,1.55972,0.00353
2.3398,1.5589,0.00376
2.3482,1.55899,0.00395
2.3568,1.55953,0.00427
2.3697,1.55926,0.00437
2.3784,1.5591,0.0037
2.3872,1.55927,0.00362
2.396,1.55926,0.00373
2.4093,1.56026,0.0036
2.4183,1.56061,0.00366
2.4274,1.55998,0.00384
2.4365,1.55879,0.00374
2.4457,1.55783,0.00313
2.4596,1.55785,0.00289
2.469,1.5584,0.0037
2.4784,1.55913,0.00451
2.488,1.55901,0.00433
2.4975,1.55826,0.00347
2.5072,1.55814,0.00321
2.5169,1.55819,0.00296
2.5268,1.55786,0.00269
2.5366,1.55789,0.00315
2.5466,1.55834,0.00364
2.5567,1.55903,0.00406
2.5668,1.55995,0.00418
2.577,1.56012,0.00391
2.5873,1.55993,0.00348
2.5976,1.55931,0.00293
2.6081,1.55863,0.00305
2.6186,1.55816,0.00337
2.6293,1.55779,0.00395
2.64,1.55723,0.00426
2.6454,1.55694,0.00394
2.6562,1.55653,0.00308
2.6671,1.55665,0.00339
2.6782,1.55659,0.00367
2.6893,1.55643,0.00307
2.6949,1.55634,0.00273
2.7061,1.55665,0.00303
2.7175,1.55711,0.00419
2.7289,1.55817,0.00407
2.7347,1.55843,0.00354
2.7462,1.55782,0.00282
2.7579,1.55683,0.00255
2.7697,1.557,0.00234
2.7756,1.5573,0.00256
2.7876,1.55717,0.00309
2.7996,1.55649,0.00324
2.8057,1.55653,0.00327
2.8179,1.55696,0.00356
2.824,1.55672,0.00362
2.8364,1.55635,0.00354
2.8489,1.55664,0.00361
2.8551,1.55686,0.00348
2.8678,1.55703,0.00325
2.8741,1.55694,0.00332
2.8869,1.55628,0.00339
2.8998,1.55591,0.00368
2.9063,1.55585,0.00376
2.9194,1.55621,0.000136
2.926,1.55646,0.000129
2.9393,1.55658,0.000123
2.946,1.55647,0.000121
2.9594,1.55598,0.000115
2.9662,1.55596,0.000112
2.9798,1.55631,0.000108
2.9867,1.55639,0.00011
2.9936,1.55639,0.000113
3.0075,1.55579,0.000118
3.0145,1.55535,0.00012
3.0286,1.5551,0.000125
3.0357,1.55549,0.000129
3.0499,1.55524,0.00222
3.0571,1.55478,0.00186
3.0644,1.55469,0.00186
3.0789,1.55481,0.00249
3.0863,1.55475,0.00259
3.0936,1.55461,0.00256
3.1085,1.55413,0.00257
3.1159,1.55343,0.00269
3.1234,1.55254,0.00297
3.1386,1.55237,0.00289
3.1462,1.55284,0.00256
3.1538,1.55295,0.00236
3.1693,1.5518,0.00276
3.177,1.55058,0.00297
3.1848,1.54952,0.00311
3.1927,1.5487,0.00314
3.2085,1.54737,0.00333
3.2164,1.54672,0.00425
3.2244,1.5461,0.00586
3.2325,1.54574,0.00803
3.2487,1.54667,0.0119
3.2569,1.54742,0.0133
3.2651,1.54859,0.0143
3.2733,1.54943,0.014
3.2899,1.54754,0.0165
3.2983,1.55034,0.0211
3.3067,1.5572,0.0222
3.3152,1.56264,0.0175
3.3237,1.56325,0.0114
