"Wavelength, µm",n,k
0.21,0.24,1.976
0.22,0.223,2.084
0.23,0.217,2.199
0.24,0.215,2.315
0.25,0.217,2.433
0.26,0.223,2.549
0.27,0.231,2.665
0.28,0.242,2.778
0.29,0.252,2.891
0.3,0.263,3.003
0.31,0.276,3.114
0.32,0.287,3.224
0.33,0.301,3.336
0.34,0.312,3.445
0.35,0.329,3.557
0.36,0.343,3.667
0.37,0.359,3.779
0.38,0.378,3.891
0.39,0.4,4.001
0.4,0.42,4.108
0.41,0.442,4.216
0.42,0.463,4.322
0.43,0.485,4.429
0.44,0.508,4.536
0.45,0.531,4.643
0.46,0.557,4.75
0.47,0.584,4.856
0.48,0.612,4.96
0.49,0.639,5.064
0.5,0.668,5.168
0.51,0.698,5.272
0.52,0.729,5.375
0.53,0.762,5.476
0.54,0.796,5.577
0.55,0.83,5.676
0.56,0.864,5.776
0.57,0.899,5.876
0.58,0.936,5.976
0.59,0.977,6.075
0.6,1.019,6.173
0.61,1.062,6.268
0.62,1.106,6.363
0.63,1.153,6.457
0.64,1.203,6.551
0.65,1.258,6.641
0.66,1.314,6.726
0.67,1.37,6.808
0.68,1.427,6.889
0.69,1.488,6.966
0.7,1.551,7.041
0.71,1.618,7.111
0.72,1.687,7.174
0.73,1.759,7.232
0.74,1.833,7.282
0.75,1.91,7.324
0.76,1.99,7.352
0.77,2.068,7.365
0.78,2.139,7.359
0.79,2.198,7.339
0.8,2.239,7.306
0.8101,2.262,7.264
0.82,2.262,7.214
0.83,2.234,7.166
0.84,2.18,7.127
0.85,2.104,7.107
0.86,2.014,7.107
0.87,1.918,7.131
0.88,1.82,7.175
0.89,1.727,7.238
0.9,1.64,7.316
0.91,1.56,7.405
0.92,1.489,7.502
0.93,1.427,7.607
0.94,1.373,7.715
0.95,1.326,7.826
0.96,1.285,7.939
0.97,1.25,8.051
0.98,1.22,8.165
0.99,1.194,8.277
1,1.171,8.389
1.01,1.151,8.5
1.02,1.132,8.614
1.03,1.117,8.726
1.04,1.103,8.839
1.05,1.093,8.951
1.06,1.085,9.063
1.07,1.077,9.174
1.08,1.072,9.294
1.09,1.069,9.395
1.1,1.068,9.505
1.11,1.068,9.614
1.12,1.07,9.722
1.13,1.072,9.828
1.14,1.075,9.933
1.15,1.08,10.037
1.16,1.083,10.141
1.17,1.085,10.243
1.18,1.087,10.346
1.19,1.088,10.449
1.2,1.091,10.553
1.21,1.091,10.661
1.22,1.098,10.769
1.23,1.105,10.876
1.24,1.114,10.982
1.25,1.122,11.086
1.26,1.13,11.191
1.27,1.139,11.297
1.28,1.15,11.403
1.29,1.164,11.508
1.3,1.178,11.611
1.31,1.193,11.712
1.32,1.206,11.812
1.33,1.219,11.911
1.34,1.231,12.01
1.35,1.244,12.11
1.36,1.255,12.209
1.37,1.265,12.31
1.38,1.278,12.41
1.39,1.291,12.513
1.4,1.303,12.615
1.41,1.32,12.716
1.42,1.334,12.815
1.43,1.348,12.915
1.44,1.363,13.015
1.45,1.375,13.117
1.46,1.391,13.218
1.47,1.408,13.32
1.48,1.425,13.423
1.49,1.442,13.523
1.5,1.464,13.624
1.51,1.483,13.723
1.52,1.504,13.82
1.53,1.52,13.916
1.54,1.533,14.013
1.55,1.55,14.116
1.56,1.565,14.217
1.57,1.588,14.323
1.58,1.616,14.421
